timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706555369448,211,Get Flights,200,OK,Flight 1-3,text,false,"The operation lasted too long: It took 211 milliseconds, but should not have lasted longer than 100 milliseconds.",1907,194,1,6,http://localhost:8000/Flights_REST/Flights?DepartureCity=London&ArrivalCity=Paris&Date=2024/01/26,211,0,1
1706555369649,47,Get Orders,200,OK,Thread Group 2-4,text,true,,3327,192,5,6,http://localhost:8000/Flights_REST/FlightOrders?CustomerName=none&OrderNumber=0&Date=0001/01/01,47,0,0
1706555369650,164,Delete Flight Order,200,OK,Thread Group 2-5,text,false,"The operation lasted too long: It took 164 milliseconds, but should not have lasted longer than 100 milliseconds.",237,234,5,6,http://localhost:8000/Flights_REST/FlightOrders/100,164,0,0
1706555369652,220,Update Flight Order,200,OK,Thread Group 2-1,text,false,"The operation lasted too long: It took 220 milliseconds, but should not have lasted longer than 100 milliseconds.",236,445,5,6,http://localhost:8000/Flights_REST/FlightOrders/1,220,0,0
1706555369652,221,Delete Flight Order,200,OK,Thread Group 2-2,text,false,"The operation lasted too long: It took 221 milliseconds, but should not have lasted longer than 100 milliseconds.",237,234,5,6,http://localhost:8000/Flights_REST/FlightOrders/100,221,0,0
1706555369657,217,Get Flight Order,200,OK,Thread Group 2-3,text,false,"The operation lasted too long: It took 217 milliseconds, but should not have lasted longer than 100 milliseconds.",464,146,5,6,http://localhost:8000/Flights_REST/FlightOrders/1,217,0,0
1706555369660,216,Get Flight By Number,200,OK,Flight 1-3,text,false,"The operation lasted too long: It took 216 milliseconds, but should not have lasted longer than 100 milliseconds.",467,145,1,6,http://localhost:8000/Flights_REST/Flights/12542,216,0,0
1706555369696,180,Reserve Order,307,Temporary Redirect,Thread Group 2-4,text,false,"The operation lasted too long: It took 180 milliseconds, but should not have lasted longer than 100 milliseconds.",2114,454,5,6,http://localhost:8000/Flights_REST/FlightOrders,180,0,0
1706555369815,220,Get Orders,200,OK,Thread Group 2-5,text,false,"The operation lasted too long: It took 220 milliseconds, but should not have lasted longer than 100 milliseconds.",3327,192,5,6,http://localhost:8000/Flights_REST/FlightOrders?CustomerName=none&OrderNumber=0&Date=0001/01/01,220,0,0
1706555369874,197,Update Flight Order,200,OK,Thread Group 2-3,text,false,"The operation lasted too long: It took 197 milliseconds, but should not have lasted longer than 100 milliseconds.",236,445,5,6,http://localhost:8000/Flights_REST/FlightOrders/1,197,0,0
1706555369873,198,Delete Flight Order,200,OK,Thread Group 2-1,text,false,"The operation lasted too long: It took 198 milliseconds, but should not have lasted longer than 100 milliseconds.",237,234,5,6,http://localhost:8000/Flights_REST/FlightOrders/100,198,0,0
1706555369874,198,Get Orders,200,OK,Thread Group 2-2,text,false,"The operation lasted too long: It took 198 milliseconds, but should not have lasted longer than 100 milliseconds.",3327,192,5,6,http://localhost:8000/Flights_REST/FlightOrders?CustomerName=none&OrderNumber=0&Date=0001/01/01,198,0,0
1706555369876,199,Get Flight Order,200,OK,Thread Group 2-4,text,false,"The operation lasted too long: It took 199 milliseconds, but should not have lasted longer than 100 milliseconds.",464,146,5,6,http://localhost:8000/Flights_REST/FlightOrders/1,199,0,0
